StudySite,Southing,Easting
A06,-18.94847,34.3112
A08,-18.97055,34.31128
A10,-18.99254,34.3117
B05,-18.9376,34.33081
B07,-18.95957,34.33033
B09,-18.98108,34.33122
C06,-18.94877,34.35125
C08,-18.97041,34.35071
D03,-18.91569,34.36975
D05,-18.93763,34.37036
D07,-18.95907,34.37054
D09,-18.98033,34.37106
E02,-18.90468,34.39004
E04,-18.92648,34.39024
E06,-18.94814,34.39065
E08,-18.97007,34.39047
E10,-18.99155,34.39053
E12,-19.01331,34.39089
F01,-18.89402,34.40934
F03,-18.91463,34.40951
F05,-18.93785,34.40944
F07,-18.95938,34.41
F09,-18.98049,34.41016
F11,-19.00232,34.41034
G04,-18.92615,34.42925
G06,-18.94765,34.42924
G08,-18.96947,34.42969
G10,-18.99154,34.42987
G12,-19.01238,34.43031
H03,-18.9152,34.4492
H05,-18.93732,34.44904
H07,-18.95859,34.44962
H09,-18.98036,34.44969
H11,-19.00162,34.44932
H13,-19.02429,34.4497
I04,-18.92486,34.4683
I06,-18.94756,34.46877
I08,-18.96937,34.46918
I10,-18.99097,34.46956
I12,-19.01319,34.46984
I14,-19.03467,34.46753
J03,-18.91491,34.4889
J05,-18.93744,34.48872
J07,-18.95831,34.48913
J09,-18.98038,34.48722
J11,-19.00152,34.48963
J13,-19.02231,34.489
K04,-18.92439,34.50628
K06,-18.94731,34.50857
K08,-18.9698,34.50842
K10,-18.9911,34.50899
K12,-19.01297,34.50941
L05,-18.93517,34.52907
L07,-18.95881,34.52905
L09,-18.97978,34.52872
L11,-19.00148,34.52897
L13,-19.02311,34.5293
M08,-18.96881,34.54853
M10,-18.99093,34.54668