Detections,AEME,ALBU,ATPA,BDCR,CEAL,CENA,CHPY,CICI,COTA,GASA,GEGE,Guineafowl_crested,Guineafowl_helmeted,HEIC,HEPA,HIAM,HINI,Hornbill_ground,Human,HYAF,ICAL,KOEL,LEMI,LESE,LOAF,MATE,MECA,MUMU,ORAF,OTCR,OUOU,PACY,PALE,PHAF,POLA,RERE,SYCA,SYGR,TAOR,TRAN,TRST,TRSY
A06,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
A08,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
A10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
B05,0,2,0,0,0,0,1,2,0,0,1,0,0,0,0,0,5,0,0,0,0,2,1,1,3,0,0,0,3,0,1,8,0,26,1,2,0,0,0,0,1,3
B07,9,2,0,0,0,0,0,0,8,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,2,2,0,8,0,0,0,0,0,1,2,1
B09,4,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,3,0,0,1,0,4,0,0,1,0,0,0,0,0,0,19,0,5,0,0,0,0,0,1,1,1
C06,2,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,5,0,3,0,0,1,0,0,0,0,0,7,1,0,18,0,0,0,0,0,0,0,6
C08,19,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12,0,0,1,0,0,0,0,0,1,15,0,6,1,0,0,0,0,8,1,17
D03,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
D05,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
D07,31,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,1,5,0,35,0,0,3,0,0,0,0,0,1,29,0,51,1,5,0,0,0,29,4,19
D09,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
E02,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
E04,40,0,0,0,0,0,12,4,0,0,2,0,2,0,0,1,0,4,0,1,0,41,0,0,3,0,1,0,0,0,10,55,0,33,3,0,1,0,0,8,2,10
E06,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
E08,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,0,0,0,0,0,0,0,0,2,2,0,5,1,0,0,2,0,0,0,3
E10,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,3,0,0,0,1,0,2,13,0,13,3,10,0,0,0,0,0,7
E12,0,0,0,0,0,0,4,0,0,0,0,0,4,0,0,0,1,2,0,0,0,19,0,0,8,0,0,0,0,0,0,31,0,16,7,0,0,0,0,0,0,8
F01,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
F03,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
F05,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
F07,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
F09,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,4,0,2,0,0,0,0,0,6
F11,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,4,0,0,0,0,0,0,6,0,5,11,0,17,3,3,0,1,0,0,6,21
G02,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
G04,24,0,2,0,2,0,2,0,0,0,0,0,1,0,0,0,0,0,0,0,0,29,0,0,1,0,0,0,0,0,10,19,0,19,2,1,0,0,0,0,0,16
G06,24,1,0,0,0,0,0,4,2,0,18,0,0,0,3,0,1,0,0,2,0,26,0,0,3,0,1,0,1,0,1,55,0,19,9,1,0,0,0,7,3,4
G08,2,0,11,0,0,0,1,7,0,0,13,0,2,2,0,0,0,0,0,0,1,18,0,0,2,0,0,0,1,0,0,26,0,12,1,1,0,0,0,2,1,12
G10,1,0,1,1,1,28,1,12,0,2,37,1,3,2,0,0,2,7,0,2,0,11,0,0,0,0,0,0,2,0,0,38,0,10,8,0,0,0,0,10,1,30
G12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
H03,49,0,0,0,0,0,0,14,0,0,1,0,0,0,0,0,0,0,0,0,0,61,0,0,1,0,2,0,0,0,9,25,0,44,0,1,0,0,0,0,2,7
H05,60,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,1,0,0,0,56,0,0,6,0,0,0,1,0,9,52,0,27,0,0,0,0,0,0,4,7
H07,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,19,0,0,4,0,0,0,0,0,2,16,0,25,3,0,0,0,0,8,1,15
H09,1,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,6,0,0,2,0,46,0,0,1,0,0,0,2,0,3,48,0,47,0,11,2,0,0,5,6,22
H11,0,0,0,0,0,0,1,0,0,0,7,0,0,0,0,0,7,0,0,0,0,0,0,0,1,0,0,0,0,0,0,8,0,2,3,0,0,0,0,0,3,7
H13,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
I04,29,0,0,0,0,0,0,4,0,0,0,0,2,0,0,0,0,0,0,11,0,71,0,1,6,0,0,0,6,0,10,19,1,64,13,8,6,0,0,0,0,41
I06,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,0,0,0,0,0,0,0,0,1,9,0,13,0,0,0,0,0,0,0,2
I08,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
I10,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,8,0,0,1,0,0,0,0,0,0,14,0,23,1,0,0,0,0,6,3,10
I12,3,0,1,0,1,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,4,0,0,3,0,0,0,0,0,0,9,0,5,1,0,0,0,0,0,0,7
I14,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
J03,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
J05,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
J07,6,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,64,0,0,1,0,1,0,0,1,3,14,0,68,3,0,0,0,0,0,1,8
J09,0,0,0,0,0,0,0,2,0,1,33,0,0,3,0,0,3,0,0,0,0,31,0,0,3,0,1,0,0,1,0,34,0,24,3,0,0,0,0,2,1,20
J11,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
J13,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
K04,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
K06,35,0,0,0,0,0,3,29,0,0,24,0,0,0,0,0,0,0,0,21,0,79,0,0,6,0,7,0,1,1,3,39,0,87,3,0,1,0,1,1,4,65
K08,7,0,0,0,0,0,0,9,0,0,9,0,0,1,0,0,0,1,0,0,0,47,0,0,0,0,0,0,0,0,2,31,0,88,0,1,2,0,0,3,6,33
K10,0,0,4,7,0,40,1,4,0,0,10,0,0,0,0,0,3,1,0,1,0,18,0,0,1,0,1,0,0,0,0,19,0,26,5,0,0,0,0,22,0,10
K12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
L05,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
L07,0,0,1,0,0,0,29,8,0,0,12,0,0,0,0,0,0,0,0,23,0,104,4,1,40,0,6,0,1,0,3,72,0,112,22,3,10,0,0,4,0,84
L09,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
L11,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,17,0,0,5,0,0,0,0,0,0,19,0,15,1,0,0,0,0,9,6,29
L13,0,0,0,4,0,0,2,2,0,2,5,0,0,0,0,0,1,0,0,2,0,5,0,0,2,0,0,0,3,0,0,16,0,4,1,0,0,0,0,4,0,11
M08,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
M10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0