StudySite,Latitude,Longitude,Longitude.UTM,Latitude.UTM,height.cm,angle,detect.obscured,cover.ground,termite.count.100m,termite.count.50m,termite.large.count.100m,termite.large.count.50m,habitat.number,habitat.type,dominant.tree
A06,-18.94847,34.3112,638055.6577,7904361.198,60,-6,0,10,1,1,1,1,2,2_OW,CA
A08,-18.97055,34.31128,638045.9089,7901917.535,70,-5,0,30,2,0,2,0,2.5,2.5_OCW,AR
A10,-18.99254,34.3117,638072.0057,7899483.559,80,-6,1,75,0,0,0,0,4,4_F,HY
B05,-18.9376,34.33081,640129.751,7905548.727,90,-1,0,20,4,3,4,3,1,1_SW,mix
B07,-18.95957,34.33033,640060.8662,7903117.669,100,-1,0,75,3,3,3,3,1,1_SW,AR
B09,-18.98108,34.33122,640136.5979,7900736.425,80,-3,0,5,15,5,15,5,2,2_OW,AR
C06,-18.94877,34.35125,642272.8619,7904296.172,90,-3,0,5,2,3,2,3,2,2_OW,HY
C08,-18.97041,34.35071,642197.6499,7901901.671,80,-5,0,10,3,3,3,3,2,2_OW,AR
D03,-18.91569,34.36975,644249.4186,7907942.181,100,-4,0,50,0,1,0,1,2,2_OW,HY
D05,-18.93763,34.37036,644294.8273,7905513.538,60,0,1,50,6,4,6,4,2.5,2.5_OCW,mix
D07,-18.95907,34.37054,644295.3496,7903140.576,90,1,0,10,7,5,7,5,2,2_OW,mix
D09,-18.97986,34.37051,644274.2966,7900839.718,60,-2,1,80,1,1,0,0,2.5,2.5_OCW,CA
E02,-18.90468,34.39004,646396.0875,7909143.999,110,-4,0,80,0,0,0,0,1,1_SW,AX_FA
E04,-18.92648,34.39024,646398.1729,7906731.168,70,-1,0,25,6,5,6,5,2,2_OW,AR
E06,-18.94814,34.39065,646422.4683,7904333.652,90,1,1,30,3,1,3,1,2,2_OW,CA
E08,-18.97007,34.39047,646384.3728,7901906.739,70,-6,0,50,0,1,0,1,3,3_CW,CA
E10,-18.99155,34.39053,646371.9214,7899529.423,90,-8,1,80,0,0,0,0,2,2_OW,CA
E12,-19.01331,34.39089,646390.7826,7897120.864,80,-7,0,80,1,0,1,0,4,4_F,mix
F01,-18.89402,34.40934,648438.4484,7910307.681,60,3,0,10,3,2,3,2,1,1_SW,AX_FA
F03,-18.91463,34.40951,648438.1726,7908026.562,90,-6,0,10,9,2,9,2,1,1_SW,AR
F05,-18.93785,34.40944,648410.2911,7905456.782,90,-6,0,50,9,2,9,2,2,2_OW,AR
F07,-18.95938,34.41,648450.222,7903073.504,100,1,0,5,2,2,2,2,1.5,1.5_SOW,AR
F09,-18.98048,34.4101,648442.0657,7900738.197,80,-5,1,20,4,1,4,1,2,2_OW,mix
F11,-19.00232,34.41034,648447.9686,7898320.868,70,1,0,50,0,0,0,0,3,3_CW,CA
G02,-18.90452,34.42932,650533.7909,7909128.718,90,0,1,50,0,0,0,0,2,2_OW,AX_FA
G04,-18.92615,34.42925,650507.0552,7906734.895,90,-5,0,10,11,2,11,2,1.5,1.5_SOW,AR
G06,-18.94765,34.42924,650486.7352,7904355.404,90,0,0,50,12,5,12,5,3,3_CW,AR
G08,-18.96947,34.42969,650514.5428,7901940.099,60,-4,0,10,0,0,0,0,3,3_CW,CA
G10,-18.99154,34.42987,650513.6656,7899497.349,90,0,0,1,0,0,0,0,4,4_F,SF
G12,-19.01238,34.43031,650541.238,7897190.503,70,-4,0,5,1,2,1,2,2.5,2.5_OCW,CA
H03,-18.9152,34.4492,652618.1837,7907929.663,70,0,1,5,3,2,3,2,2,2_OW,AX_FA
H05,-18.93732,34.44904,652581.2445,7905481.669,110,1,0,5,0,3,0,3,2,2_OW,AX_FA
H07,-18.95859,34.44962,652622.9841,7903127.104,70,-3,1,15,2,1,2,1,3,3_CW,CA
H09,-18.98015,34.45014,652658.1057,7900740.488,80,-2,0,30,0,0,0,0,2.5,2.5_OCW,mix
H11,-19.00162,34.44932,652552.2044,7898364.99,90,0,1,10,0,0,0,0,3,3_CW,CA
H13,-19.02429,34.4497,652571.5229,7895855.634,80,-2,0,1,2,1,2,1,3.5,3.5_CWF,SF
I04,-18.92486,34.4683,654621.1054,7906843.928,130,-1,1,15,3,2,0,0,1,1_SW,HY
I06,-18.94756,34.46877,654649.7034,7904331.173,80,-3,0,30,3,2,3,2,1.5,1.5_SOW,AR
I08,-18.96937,34.46918,654672.7672,7901916.965,70,-1,0,40,0,0,0,0,3,3_CW,AR
I10,-18.99097,34.46956,654692.833,7899526.02,70,0,0,60,3,1,3,1,3,3_CW,mix
I12,-19.01319,34.46984,654701.766,7897066.538,90,-5,0,10,0,1,0,1,2,2_OW,mix
I14,-19.03467,34.46753,654438.7419,7894691.23,60,-3,0,10,4,1,4,1,1,1_SW,AR
J03,-18.91491,34.4889,656800.0799,7907926.996,120,-8,1,80,0,0,0,0,1,1_SW,AX_FA
J05,-18.93744,34.48872,656760.1008,7905433.611,90,-6,1,20,3,2,0,0,2,2_OW,HY
J07,-18.95831,34.48913,656783.7834,7903123.421,90,-1,0,30,1,1,0,0,2,2_OW,mix
J09,-18.97872,34.4887,656719.4201,7900864.884,70,-5,1,80,1,0,1,0,2,2_OW,mix
J11,-19.00152,34.48963,656795.9875,7898340.612,60,-5,0,5,0,1,0,1,3.5,3.5_CWF,mix
J13,-19.02231,34.489,656710.1784,7896040.187,70,0,0,10,2,0,2,0,2,2_OW,AR
K04,-18.92375,34.50578,658569.743,7906933.543,60,-7,0,40,0,0,0,0,1,1_SW,AX_FA
K06,-18.94731,34.50857,658841.3202,7904323.474,60,1,0,1,5,1,0,0,3,3_CW,SF
K08,-18.9698,34.50842,658804.2283,7901834.466,70,-3,1,50,1,0,1,0,2,2_OW,mix
K10,-18.9911,34.50899,658844.0496,7899476.51,90,-2,0,1,5,1,5,1,3.5,3.5_CWF,mix
K12,-19.01297,34.50941,658867.5015,7897055.597,70,-6,0,5,3,1,3,1,3,3_CW,CA
L05,-18.93517,34.52907,661011.8661,7905648.523,70,-4,0,50,0,0,0,0,1,1_SW,AX_FA
L07,-18.95881,34.52905,660987.0825,7903032.102,120,-13,0,15,3,3,0,0,2,2_OW,HY
L09,-18.97978,34.52872,660932.1973,7900711.471,60,-5,1,10,5,4,0,0,3,3_CW,CA
L11,-19.00148,34.52897,660937.6591,7898309.509,90,-3,1,5,7,2,7,2,3,3_CW,CA
L13,-19.02311,34.5293,660951.5797,7895915.216,60,-8,0,5,5,0,5,0,3.5,3.5_CWF,CA
M08,-18.96881,34.54853,663028.7186,7901907.404,90,0,0,20,0,0,0,0,2,2_OW,CA
M10,-18.99093,34.54668,662812.4137,7899460.883,70,1,0,15,3,1,3,1,2,2_OW,HY