"","row","column","cor","p"
"1","Longitude.UTM","Latitude.UTM",-0.208097045569962,0.110594705504947
"2","Longitude.UTM","cover.ground",-0.237762787635521,0.0673561264857661
"3","Latitude.UTM","cover.ground",0.194691586782952,0.136051886489727
"4","Longitude.UTM","termite.count.100m",-0.112601655157977,0.391671666760936
"5","Latitude.UTM","termite.count.100m",0.0960237597197615,0.465488391960243
"6","cover.ground","termite.count.100m",-0.262817977030245,0.0424815218034746
"7","Longitude.UTM","termite.count.50m",-0.268656878158817,0.0379348979429719
"8","Latitude.UTM","termite.count.50m",0.227027429374265,0.081087415956635
"9","cover.ground","termite.count.50m",-0.276936994338842,0.0321846793323668
"10","termite.count.100m","termite.count.50m",0.687418534205226,1.30852573221318e-09
"11","Longitude.UTM","termite.large.count.100m",-0.213855782473494,0.100856442707611
"12","Latitude.UTM","termite.large.count.100m",0.0584729158673224,0.657200580522639
"13","cover.ground","termite.large.count.100m",-0.201071965890357,0.12343518660765
"14","termite.count.100m","termite.large.count.100m",0.945082534906653,0
"15","termite.count.50m","termite.large.count.100m",0.607794969128826,2.60353517411716e-07
"16","Longitude.UTM","termite.large.count.50m",-0.423492855704503,0.000747541819229536
"17","Latitude.UTM","termite.large.count.50m",0.186471192863073,0.153706250170681
"18","cover.ground","termite.large.count.50m",-0.217107111734923,0.0956600145512618
"19","termite.count.100m","termite.large.count.50m",0.65611861373199,1.26404211542308e-08
"20","termite.count.50m","termite.large.count.50m",0.870909457490988,0
"21","termite.large.count.100m","termite.large.count.50m",0.725680609753967,5.40272271365438e-11
"22","Longitude.UTM","habitat.number",0.0705250008176836,0.592331704035558
"23","Latitude.UTM","habitat.number",-0.584554864741694,9.39151970191787e-07
"24","cover.ground","habitat.number",-0.0833948376630248,0.52641377902627
"25","termite.count.100m","habitat.number",-0.0881874429972268,0.502835725879236
"26","termite.count.50m","habitat.number",-0.183364660170811,0.160801643505566
"27","termite.large.count.100m","habitat.number",-0.0996283448545442,0.448827512349845
"28","termite.large.count.50m","habitat.number",-0.183075631234797,0.16147384524615
"29","Longitude.UTM","fire.interval",-0.0411785228826774,0.754743999635438
"30","Latitude.UTM","fire.interval",-0.423412210430905,0.000749470884055192
"31","cover.ground","fire.interval",-0.297887789543312,0.0207974690103154
"32","termite.count.100m","fire.interval",-0.0535620775272988,0.684408737439623
"33","termite.count.50m","fire.interval",0.0611056243811154,0.642791658761612
"34","termite.large.count.100m","fire.interval",-0.0978514030163427,0.456999262727732
"35","termite.large.count.50m","fire.interval",0.00750495806825142,0.954616059614481
"36","habitat.number","fire.interval",0.155040595513594,0.236870670704318
"37","Longitude.UTM","poaching.all",-0.0909015822146685,0.489728416610931
"38","Latitude.UTM","poaching.all",-0.0747664773269047,0.570203726333498
"39","cover.ground","poaching.all",0.0180525295647018,0.891106802239405
"40","termite.count.100m","poaching.all",-0.140016905109632,0.285963568933861
"41","termite.count.50m","poaching.all",-0.0432463821157574,0.742842226191735
"42","termite.large.count.100m","poaching.all",-0.209068572156884,0.108902974454739
"43","termite.large.count.50m","poaching.all",-0.101900587196727,0.438496696791314
"44","habitat.number","poaching.all",0.159090909090909,0.224694078812738
"45","fire.interval","poaching.all",0.336511215231519,0.00856549970870901
"46","Longitude.UTM","poaching.high",-0.118454096448156,0.367365418155626
"47","Latitude.UTM","poaching.high",-0.293675952891694,0.0227609685808843
"48","cover.ground","poaching.high",0.143485659186682,0.274075047817192
"49","termite.count.100m","poaching.high",-0.222594776805881,0.0873655650001639
"50","termite.count.50m","poaching.high",-0.128289501447696,0.328635310235728
"51","termite.large.count.100m","poaching.high",-0.183596404822223,0.160264158317291
"52","termite.large.count.50m","poaching.high",-0.0870993536965622,0.508140637405083
"53","habitat.number","poaching.high",0.269679944985297,0.0371813451419525
"54","fire.interval","poaching.high",0.345102498753741,0.00692504152295381
"55","poaching.all","poaching.high",0.741619848709566,1.21787024909281e-11
"56","Longitude.UTM","boundary.distance",0.725344034572664,5.5691451450457e-11
"57","Latitude.UTM","boundary.distance",0.485752093526119,8.34490229106866e-05
"58","cover.ground","boundary.distance",-0.0795732544053889,0.545600775303647
"59","termite.count.100m","boundary.distance",-0.0739160726868479,0.57460943507409
"60","termite.count.50m","boundary.distance",-0.123691050579591,0.346410582397499
"61","termite.large.count.100m","boundary.distance",-0.19606927680348,0.13324874834104
"62","termite.large.count.50m","boundary.distance",-0.296877424501604,0.0212548734868203
"63","habitat.number","boundary.distance",-0.332321151051733,0.00948162007659503
"64","fire.interval","boundary.distance",-0.307359912097167,0.0169008739454255
"65","poaching.all","boundary.distance",-0.143789092004805,0.273050967529564
"66","poaching.high","boundary.distance",-0.34998573231565,0.00612095625439535
"67","Longitude.UTM","road.distance",-0.108298663558564,0.410134075354468
"68","Latitude.UTM","road.distance",-0.105720566638681,0.421432757773625
"69","cover.ground","road.distance",-0.122014004142242,0.35303879184451
"70","termite.count.100m","road.distance",0.0121713854316844,0.926460270296174
"71","termite.count.50m","road.distance",0.0902859327077948,0.492685760252962
"72","termite.large.count.100m","road.distance",-0.0419836509191305,0.750103086444743
"73","termite.large.count.50m","road.distance",0.00455864051082891,0.972423870572041
"74","habitat.number","road.distance",0.126776356615395,0.334419655950425
"75","fire.interval","road.distance",0.454777722276964,0.00026175362555092
"76","poaching.all","road.distance",0.154733207061826,0.237812972142617
"77","poaching.high","road.distance",0.161296641623565,0.218249321799592
"78","boundary.distance","road.distance",-0.13149316017961,0.316598470313693
"79","Longitude.UTM","road.major.distance",0.130180369162265,0.321496406988567
"80","Latitude.UTM","road.major.distance",-0.261714688303224,0.0433891170124687
"81","cover.ground","road.major.distance",-0.183728476939478,0.159958435800135
"82","termite.count.100m","road.major.distance",0.0104873053143912,0.936612961305738
"83","termite.count.50m","road.major.distance",-0.0907808456776701,0.49030765413088
"84","termite.large.count.100m","road.major.distance",-0.029047319624494,0.825627458203676
"85","termite.large.count.50m","road.major.distance",-0.132826178283779,0.311674125905598
"86","habitat.number","road.major.distance",0.150945564830919,0.249635850345419
"87","fire.interval","road.major.distance",0.399250669023149,0.00157737353182186
"88","poaching.all","road.major.distance",-0.0137042012960469,0.917229579837856
"89","poaching.high","road.major.distance",0.000714984083464749,0.995674099820824
"90","boundary.distance","road.major.distance",-0.0379101239260293,0.773670783390657
"91","road.distance","road.major.distance",0.649816037923372,1.93363627332133e-08
"92","Longitude.UTM","urema.distance",-0.675014950980345,3.32164740157737e-09
"93","Latitude.UTM","urema.distance",-0.561744323370773,3.01357233323252e-06
"94","cover.ground","urema.distance",0.0432579465393792,0.74277583108048
"95","termite.count.100m","urema.distance",0.024505745030699,0.852558101377909
"96","termite.count.50m","urema.distance",0.0549848470151641,0.676482942678173
"97","termite.large.count.100m","urema.distance",0.132984688778919,0.311091856863856
"98","termite.large.count.50m","urema.distance",0.209113085596826,0.10882594294131
"99","habitat.number","urema.distance",0.343671721411135,0.00717749424044212
"100","fire.interval","urema.distance",0.350554604048752,0.0060328317994367
"101","poaching.all","urema.distance",0.083133379765919,0.527715699337321
"102","poaching.high","urema.distance",0.25949112916607,0.0452667722116393
"103","boundary.distance","urema.distance",-0.933561673379761,0
"104","road.distance","urema.distance",0.175035893493151,0.181009210476815
"105","road.major.distance","urema.distance",0.0977625094590168,0.457410190170866
"106","Longitude.UTM","pan.distance",0.254114788056107,0.0500834750879169
"107","Latitude.UTM","pan.distance",-0.346579148520369,0.00667267287959095
"108","cover.ground","pan.distance",-0.0405445285550993,0.758404552612737
"109","termite.count.100m","pan.distance",-0.221868678085141,0.0884294253257796
"110","termite.count.50m","pan.distance",-0.213110236831936,0.102078321151901
"111","termite.large.count.100m","pan.distance",-0.236607778591431,0.0687373927112955
"112","termite.large.count.50m","pan.distance",-0.233438018530663,0.0726447965042933
"113","habitat.number","pan.distance",0.392675985532704,0.00191339834711624
"114","fire.interval","pan.distance",0.115686778651254,0.378742333772645
"115","poaching.all","pan.distance",-0.102396917803464,0.436257965096974
"116","poaching.high","pan.distance",-0.0136524164125132,0.917541260491067
"117","boundary.distance","pan.distance",-0.00245438277342079,0.985150902158294
"118","road.distance","pan.distance",0.332029076611573,0.00954853853445137
"119","road.major.distance","pan.distance",0.339144224596572,0.00803010378534386
"120","urema.distance","pan.distance",0.0133426343390281,0.919406019800134
"121","Longitude.UTM","river.distance",0.205972190370884,0.114365119351939
"122","Latitude.UTM","river.distance",-0.289494068468947,0.0248634525547264
"123","cover.ground","river.distance",-0.17158661284535,0.189894394187541
"124","termite.count.100m","river.distance",-0.0412537992944337,0.754309723418359
"125","termite.count.50m","river.distance",-0.159036859474506,0.224853646665095
"126","termite.large.count.100m","river.distance",-0.00204713491474151,0.987614553411712
"127","termite.large.count.50m","river.distance",-0.0908411323470616,0.490018382004428
"128","habitat.number","river.distance",0.293764980907349,0.0227178973896442
"129","fire.interval","river.distance",0.142250974889007,0.27826841687786
"130","poaching.all","river.distance",-0.0379326878270588,0.773539654931596
"131","poaching.high","river.distance",-0.0502457585401258,0.70301353003239
"132","boundary.distance","river.distance",-0.0368630192575044,0.779762817363417
"133","road.distance","river.distance",0.12111713164339,0.35661534974549
"134","road.major.distance","river.distance",0.190391984855196,0.145085343329715
"135","urema.distance","river.distance",-0.0388607817214366,0.768151598791291
"136","pan.distance","river.distance",0.522450179725383,1.85373663339483e-05
"137","Longitude.UTM","tree.100m",0.514672887415676,2.58730282463038e-05
"138","Latitude.UTM","tree.100m",-0.521016753886764,1.97243717270368e-05
"139","cover.ground","tree.100m",-0.198128030873235,0.12914130534479
"140","termite.count.100m","tree.100m",-0.140974776922409,0.282647245013142
"141","termite.count.50m","tree.100m",-0.312110646721418,0.0151938473000686
"142","termite.large.count.100m","tree.100m",-0.148953339372969,0.256012311778666
"143","termite.large.count.50m","tree.100m",-0.323506409218559,0.0116903042618501
"144","habitat.number","tree.100m",0.711658147907946,1.8437518178871e-10
"145","fire.interval","tree.100m",0.0120547283957089,0.927163194923162
"146","poaching.all","tree.100m",-0.0905953144575255,0.49119844509218
"147","poaching.high","tree.100m",-0.013724121088157,0.917109690737611
"148","boundary.distance","tree.100m",0.126418229192716,0.335797977003085
"149","road.distance","tree.100m",-0.0303176947878029,0.818128617885472
"150","road.major.distance","tree.100m",0.132627130033542,0.312406295847042
"151","urema.distance","tree.100m",-0.0385375055484745,0.770027157521804
"152","pan.distance","tree.100m",0.441720923973554,0.000410602789308712
"153","river.distance","tree.100m",0.328864766537833,0.0103002255062776
"154","Longitude.UTM","tree.250m",0.588301127657104,7.68867908007564e-07
"155","Latitude.UTM","tree.250m",-0.586657680579218,8.3965552244436e-07
"156","cover.ground","tree.250m",-0.248626073989361,0.0554244325576514
"157","termite.count.100m","tree.250m",-0.122514193786382,0.351053762432317
"158","termite.count.50m","tree.250m",-0.276191931867711,0.0326703808787581
"159","termite.large.count.100m","tree.250m",-0.162434647886418,0.214975349960027
"160","termite.large.count.50m","tree.250m",-0.346624102760967,0.00666511788729629
"161","habitat.number","tree.250m",0.6987673178094,5.35518740463203e-10
"162","fire.interval","tree.250m",0.0289567507920309,0.826162673414237
"163","poaching.all","tree.250m",-0.0426108528855867,0.746493857929317
"164","poaching.high","tree.250m",0.0541865891680429,0.68092555158966
"165","boundary.distance","tree.250m",0.137438663508786,0.295016644420824
"166","road.distance","tree.250m",-0.0211271154999063,0.872703662726526
"167","road.major.distance","tree.250m",0.140492408642826,0.284314103617995
"168","urema.distance","tree.250m",-0.0630997237207797,0.631963959631714
"169","pan.distance","tree.250m",0.46662426712026,0.000171230014686996
"170","river.distance","tree.250m",0.374114568460006,0.00323308283429768
"171","tree.100m","tree.250m",0.947685072203442,0
"172","Longitude.UTM","tree.500m",0.641000922557773,3.44761774684343e-08
"173","Latitude.UTM","tree.500m",-0.579934437208096,1.1978635803267e-06
"174","cover.ground","tree.500m",-0.220768837542264,0.0900602187151691
"175","termite.count.100m","tree.500m",-0.149316852950882,0.254840681900361
"176","termite.count.50m","tree.500m",-0.298139971510703,0.0206846150915649
"177","termite.large.count.100m","tree.500m",-0.196395427485228,0.132591559104003
"178","termite.large.count.50m","tree.500m",-0.379893175625105,0.00275479098592069
"179","habitat.number","tree.500m",0.650695340069197,1.823374295995e-08
"180","fire.interval","tree.500m",0.0290644639189991,0.825526153117691
"181","poaching.all","tree.500m",-0.00229212082042509,0.986132492719325
"182","poaching.high","tree.500m",0.0856874499339229,0.51506665812909
"183","boundary.distance","tree.500m",0.188082415744483,0.150118763426348
"184","road.distance","tree.500m",-0.00142413923713417,0.991383588670609
"185","road.major.distance","tree.500m",0.150483844513909,0.251103954018649
"186","urema.distance","tree.500m",-0.120026596150961,0.360994034752179
"187","pan.distance","tree.500m",0.490654098634773,6.89299109564168e-05
"188","river.distance","tree.500m",0.391719494888032,0.00196728027863524
"189","tree.100m","tree.500m",0.884798092786609,0
"190","tree.250m","tree.500m",0.971403831188697,0
"191","Longitude.UTM","tree.1km",0.606933463518018,2.73535889494525e-07
"192","Latitude.UTM","tree.1km",-0.671884068790208,4.17280054954006e-09
"193","cover.ground","tree.1km",-0.232676656407199,0.0736092193475653
"194","termite.count.100m","tree.1km",-0.0910548514045357,0.488993619578302
"195","termite.count.50m","tree.1km",-0.277855175482681,0.0315944255878122
"196","termite.large.count.100m","tree.1km",-0.138419062009592,0.291552348513
"197","termite.large.count.50m","tree.1km",-0.349589821027622,0.00618295153523141
"198","habitat.number","tree.1km",0.617560709670587,1.47192333876944e-07
"199","fire.interval","tree.1km",0.155397007252623,0.235781309499844
"200","poaching.all","tree.1km",0.0351007317232406,0.790045395458526
"201","poaching.high","tree.1km",0.11456222994576,0.383425233815286
"202","boundary.distance","tree.1km",0.112329391695778,0.392825071506704
"203","road.distance","tree.1km",0.0765082324514064,0.561229469096384
"204","road.major.distance","tree.1km",0.214263954835969,0.100192311343302
"205","urema.distance","tree.1km",-0.0183203177917899,0.889501521545272
"206","pan.distance","tree.1km",0.50290565461443,4.22009219711583e-05
"207","river.distance","tree.1km",0.424944343633796,0.000713580555484317
"208","tree.100m","tree.1km",0.826889048704844,4.44089209850063e-16
"209","tree.250m","tree.1km",0.921039237547787,0
"210","tree.500m","tree.1km",0.959186103403323,0
"211","Longitude.UTM","termites.100m",0.216636527182882,0.0963989312067235
"212","Latitude.UTM","termites.100m",-0.053746993302217,0.683376692492085
"213","cover.ground","termites.100m",-0.0404316154115195,0.759057046168195
"214","termite.count.100m","termites.100m",0.150424741060206,0.251292304344304
"215","termite.count.50m","termites.100m",0.0608455076608163,0.64420958655817
"216","termite.large.count.100m","termites.100m",0.147323110094641,0.261311435529675
"217","termite.large.count.50m","termites.100m",0.0457867211314817,0.728302846832899
"218","habitat.number","termites.100m",0.200226742853492,0.125053464423149
"219","fire.interval","termites.100m",0.0994917932281922,0.449452602743903
"220","poaching.all","termites.100m",-0.105739721901825,0.421348158415914
"221","poaching.high","termites.100m",-0.00558667910495627,0.966208348234788
"222","boundary.distance","termites.100m",0.127444830856703,0.331856423793535
"223","road.distance","termites.100m",-0.0963191452471681,0.46411061620701
"224","road.major.distance","termites.100m",-0.0081405243492932,0.950777233328424
"225","urema.distance","termites.100m",-0.149423221872592,0.254498535254678
"226","pan.distance","termites.100m",0.114435853351217,0.383953646717751
"227","river.distance","termites.100m",0.191341414952996,0.143053096231885
"228","tree.100m","termites.100m",0.2846199446472,0.0275183772279142
"229","tree.250m","termites.100m",0.215159726191414,0.0987467200327357
"230","tree.500m","termites.100m",0.200221082652706,0.125064355563438
"231","tree.1km","termites.100m",0.181222156187914,0.165833699028599
"232","Longitude.UTM","termites.250m",0.313274320014637,0.0147990126908635
"233","Latitude.UTM","termites.250m",-0.20930168971682,0.108500024833082
"234","cover.ground","termites.250m",-0.125199251661789,0.340516084375238
"235","termite.count.100m","termites.250m",0.243648255398904,0.0606594327627596
"236","termite.count.50m","termites.250m",0.18645471540504,0.153743263220329
"237","termite.large.count.100m","termites.250m",0.219522435559028,0.0919367170887662
"238","termite.large.count.50m","termites.250m",0.112536626886886,0.391946967525749
"239","habitat.number","termites.250m",0.297187569527852,0.0211135681911536
"240","fire.interval","termites.250m",0.0536918087946487,0.683684625971376
"241","poaching.all","termites.250m",-0.0943301012810894,0.47343074502702
"242","poaching.high","termites.250m",0.0568682911159234,0.666044451234989
"243","boundary.distance","termites.250m",0.0904656922614274,0.491821302030128
"244","road.distance","termites.250m",-0.0664533688776585,0.613927192067673
"245","road.major.distance","termites.250m",0.0489350231018038,0.710415619506019
"246","urema.distance","termites.250m",-0.124830932781771,0.341949775689394
"247","pan.distance","termites.250m",0.220867894059173,0.0899123832657516
"248","river.distance","termites.250m",0.276626303208692,0.0323864794249618
"249","tree.100m","termites.250m",0.404638671977699,0.00134253864526768
"250","tree.250m","termites.250m",0.424127043386844,0.000732527585953768
"251","tree.500m","termites.250m",0.41279816979669,0.00104635540593101
"252","tree.1km","termites.250m",0.374293115017394,0.00321726717159443
"253","termites.100m","termites.250m",0.823195972976955,6.66133814775094e-16
"254","Longitude.UTM","termites.500m",0.420401005018621,0.000824802325571028
"255","Latitude.UTM","termites.500m",-0.19674139831382,0.131897107418876
"256","cover.ground","termites.500m",-0.177041896963974,0.175982173983739
"257","termite.count.100m","termites.500m",0.130731487523636,0.319434383486535
"258","termite.count.50m","termites.500m",0.0447267092538327,0.73435848775078
"259","termite.large.count.100m","termites.500m",0.115099403908813,0.381184015874858
"260","termite.large.count.50m","termites.500m",-0.0220406948336279,0.867247827047582
"261","habitat.number","termites.500m",0.21697059575041,0.0958739171456693
"262","fire.interval","termites.500m",0.0507380224602428,0.700240601394076
"263","poaching.all","termites.500m",-0.0335797509299485,0.798948782777625
"264","poaching.high","termites.500m",0.146628985153582,0.263589972227995
"265","boundary.distance","termites.500m",0.2021821471419,0.121333867489137
"266","road.distance","termites.500m",0.0106996468029492,0.935332246932136
"267","road.major.distance","termites.500m",0.0521936892924969,0.692063670216582
"268","urema.distance","termites.500m",-0.227160601655282,0.0809044702200976
"269","pan.distance","termites.500m",0.263691319886777,0.0417742242827503
"270","river.distance","termites.500m",0.326299255465948,0.0109467965054413
"271","tree.100m","termites.500m",0.376490304900507,0.00302818498004176
"272","tree.250m","termites.500m",0.445634019357536,0.000359452262726823
