SppCode1,SppCode2,Pansu_included,Pianka_dietary_overlap,Pianka_significant,Bray_Curtis_dissimilarities
MUMU,CHPY,N,NA,NA,NA
MUMU,CICI,N,NA,NA,NA
MUMU,GASA,N,NA,NA,NA
MUMU,GEGE,N,NA,NA,NA
MUMU,HEIC,N,NA,NA,NA
MUMU,HEPA,N,NA,NA,NA
MUMU,HIAM,N,NA,NA,NA
MUMU,HYAF,N,NA,NA,NA
MUMU,ICAL,N,NA,NA,NA
MUMU,LEMI,N,NA,NA,NA
MUMU,LESE,N,NA,NA,NA
MUMU,MATE,N,NA,NA,NA
MUMU,MECA,N,NA,NA,NA
ORAF,AEME,N,NA,NA,NA
ORAF,ALBU,N,NA,NA,NA
ORAF,COTA,N,NA,NA,NA
ORAF,HINI,N,NA,NA,NA
ORAF,KOEL,N,NA,NA,NA
ORAF,LOAF,N,NA,NA,NA
ORAF,ATPA,N,NA,NA,NA
ORAF,BDCR,N,NA,NA,NA
ORAF,CEAL,N,NA,NA,NA
ORAF,CENA,N,NA,NA,NA
ORAF,CHPY,N,NA,NA,NA
ORAF,CICI,N,NA,NA,NA
ORAF,GASA,N,NA,NA,NA
ORAF,GEGE,N,NA,NA,NA
ORAF,HEIC,N,NA,NA,NA
ORAF,HEPA,N,NA,NA,NA
ORAF,HIAM,N,NA,NA,NA
ORAF,HYAF,N,NA,NA,NA
ORAF,ICAL,N,NA,NA,NA
ORAF,LEMI,N,NA,NA,NA
ORAF,LESE,N,NA,NA,NA
ORAF,MATE,N,NA,NA,NA
ORAF,MECA,N,NA,NA,NA
ORAF,MUMU,N,NA,NA,NA
OTCR,AEME,N,NA,NA,NA
OTCR,ALBU,N,NA,NA,NA
OTCR,COTA,N,NA,NA,NA
OTCR,HINI,N,NA,NA,NA
OTCR,KOEL,N,NA,NA,NA
OTCR,LOAF,N,NA,NA,NA
OTCR,ATPA,N,NA,NA,NA
OTCR,BDCR,N,NA,NA,NA
OTCR,CEAL,N,NA,NA,NA
OTCR,CENA,N,NA,NA,NA
OTCR,CHPY,N,NA,NA,NA
OTCR,CICI,N,NA,NA,NA
OTCR,GASA,N,NA,NA,NA
OTCR,GEGE,N,NA,NA,NA
OTCR,HEIC,N,NA,NA,NA
OTCR,HEPA,N,NA,NA,NA
OTCR,HIAM,N,NA,NA,NA
OTCR,HYAF,N,NA,NA,NA
OTCR,ICAL,N,NA,NA,NA
OTCR,LEMI,N,NA,NA,NA
OTCR,LESE,N,NA,NA,NA
OTCR,MATE,N,NA,NA,NA
OTCR,MECA,N,NA,NA,NA
OTCR,MUMU,N,NA,NA,NA
OTCR,ORAF,N,NA,NA,NA
OUOU,ATPA,N,NA,NA,NA
OUOU,BDCR,N,NA,NA,NA
OUOU,CEAL,N,NA,NA,NA
OUOU,CENA,N,NA,NA,NA
OUOU,CHPY,N,NA,NA,NA
OUOU,CICI,N,NA,NA,NA
OUOU,GASA,N,NA,NA,NA
OUOU,GEGE,N,NA,NA,NA
OUOU,HEIC,N,NA,NA,NA
OUOU,HEPA,N,NA,NA,NA
OUOU,HIAM,N,NA,NA,NA
OUOU,HYAF,N,NA,NA,NA
OUOU,ICAL,N,NA,NA,NA
OUOU,LEMI,N,NA,NA,NA
OUOU,LESE,N,NA,NA,NA
OUOU,MATE,N,NA,NA,NA
OUOU,MECA,N,NA,NA,NA
OUOU,MUMU,N,NA,NA,NA
OUOU,ORAF,N,NA,NA,NA
OUOU,OTCR,N,NA,NA,NA
PACY,ATPA,N,NA,NA,NA
PACY,BDCR,N,NA,NA,NA
PACY,CEAL,N,NA,NA,NA
PACY,CENA,N,NA,NA,NA
PACY,CHPY,N,NA,NA,NA
PACY,CICI,N,NA,NA,NA
PACY,GASA,N,NA,NA,NA
PACY,GEGE,N,NA,NA,NA
PACY,HEIC,N,NA,NA,NA
PACY,HEPA,N,NA,NA,NA
PACY,HIAM,N,NA,NA,NA
PACY,HYAF,N,NA,NA,NA
PACY,ICAL,N,NA,NA,NA
PACY,LEMI,N,NA,NA,NA
PACY,LESE,N,NA,NA,NA
PACY,MATE,N,NA,NA,NA
PACY,MECA,N,NA,NA,NA
PACY,MUMU,N,NA,NA,NA
PACY,ORAF,N,NA,NA,NA
PACY,OTCR,N,NA,NA,NA
PALE,AEME,N,NA,NA,NA
PALE,ALBU,N,NA,NA,NA
PALE,COTA,N,NA,NA,NA
PALE,HINI,N,NA,NA,NA
PALE,KOEL,N,NA,NA,NA
PALE,LOAF,N,NA,NA,NA
PALE,OUOU,N,NA,NA,NA
PALE,PACY,N,NA,NA,NA
PALE,ATPA,N,NA,NA,NA
PALE,BDCR,N,NA,NA,NA
PALE,CEAL,N,NA,NA,NA
PALE,CENA,N,NA,NA,NA
PALE,CHPY,N,NA,NA,NA
PALE,CICI,N,NA,NA,NA
PALE,GASA,N,NA,NA,NA
PALE,GEGE,N,NA,NA,NA
PALE,HEIC,N,NA,NA,NA
PALE,HEPA,N,NA,NA,NA
PALE,HIAM,N,NA,NA,NA
PALE,HYAF,N,NA,NA,NA
PALE,ICAL,N,NA,NA,NA
PALE,LEMI,N,NA,NA,NA
PALE,LESE,N,NA,NA,NA
PALE,MATE,N,NA,NA,NA
PALE,MECA,N,NA,NA,NA
PALE,MUMU,N,NA,NA,NA
PALE,ORAF,N,NA,NA,NA
PALE,OTCR,N,NA,NA,NA
PHAF,ATPA,N,NA,NA,NA
PHAF,BDCR,N,NA,NA,NA
PHAF,CEAL,N,NA,NA,NA
PHAF,CENA,N,NA,NA,NA
PHAF,CHPY,N,NA,NA,NA
PHAF,CICI,N,NA,NA,NA
PHAF,GASA,N,NA,NA,NA
PHAF,GEGE,N,NA,NA,NA
PHAF,HEIC,N,NA,NA,NA
PHAF,HEPA,N,NA,NA,NA
PHAF,HIAM,N,NA,NA,NA
PHAF,HYAF,N,NA,NA,NA
PHAF,ICAL,N,NA,NA,NA
PHAF,LEMI,N,NA,NA,NA
PHAF,LESE,N,NA,NA,NA
PHAF,MATE,N,NA,NA,NA
PHAF,MECA,N,NA,NA,NA
PHAF,MUMU,N,NA,NA,NA
PHAF,ORAF,N,NA,NA,NA
PHAF,OTCR,N,NA,NA,NA
PHAF,PALE,N,NA,NA,NA
POLA,AEME,N,NA,NA,NA
POLA,ALBU,N,NA,NA,NA
POLA,COTA,N,NA,NA,NA
POLA,HINI,N,NA,NA,NA
POLA,KOEL,N,NA,NA,NA
POLA,LOAF,N,NA,NA,NA
POLA,OUOU,N,NA,NA,NA
POLA,PACY,N,NA,NA,NA
POLA,PHAF,N,NA,NA,NA
POLA,ATPA,N,NA,NA,NA
POLA,BDCR,N,NA,NA,NA
POLA,CEAL,N,NA,NA,NA
POLA,CENA,N,NA,NA,NA
POLA,CHPY,N,NA,NA,NA
POLA,CICI,N,NA,NA,NA
POLA,GASA,N,NA,NA,NA
POLA,GEGE,N,NA,NA,NA
POLA,HEIC,N,NA,NA,NA
POLA,HEPA,N,NA,NA,NA
POLA,HIAM,N,NA,NA,NA
POLA,HYAF,N,NA,NA,NA
POLA,ICAL,N,NA,NA,NA
POLA,LEMI,N,NA,NA,NA
POLA,LESE,N,NA,NA,NA
POLA,MATE,N,NA,NA,NA
POLA,MECA,N,NA,NA,NA
POLA,MUMU,N,NA,NA,NA
POLA,ORAF,N,NA,NA,NA
POLA,OTCR,N,NA,NA,NA
POLA,PALE,N,NA,NA,NA
RERE,ATPA,N,NA,NA,NA
RERE,BDCR,N,NA,NA,NA
RERE,CEAL,N,NA,NA,NA
RERE,CENA,N,NA,NA,NA
RERE,CHPY,N,NA,NA,NA
RERE,CICI,N,NA,NA,NA
RERE,GASA,N,NA,NA,NA
RERE,GEGE,N,NA,NA,NA
RERE,HEIC,N,NA,NA,NA
RERE,HEPA,N,NA,NA,NA
RERE,HIAM,N,NA,NA,NA
RERE,HYAF,N,NA,NA,NA
RERE,ICAL,N,NA,NA,NA
RERE,LEMI,N,NA,NA,NA
RERE,LESE,N,NA,NA,NA
RERE,MATE,N,NA,NA,NA
RERE,MECA,N,NA,NA,NA
RERE,MUMU,N,NA,NA,NA
RERE,ORAF,N,NA,NA,NA
RERE,OTCR,N,NA,NA,NA
RERE,PALE,N,NA,NA,NA
RERE,POLA,N,NA,NA,NA
SYCA,ATPA,N,NA,NA,NA
SYCA,BDCR,N,NA,NA,NA
SYCA,CEAL,N,NA,NA,NA
SYCA,CENA,N,NA,NA,NA
SYCA,CHPY,N,NA,NA,NA
SYCA,CICI,N,NA,NA,NA
SYCA,GASA,N,NA,NA,NA
SYCA,GEGE,N,NA,NA,NA
SYCA,HEIC,N,NA,NA,NA
SYCA,HEPA,N,NA,NA,NA
SYCA,HIAM,N,NA,NA,NA
SYCA,HYAF,N,NA,NA,NA
SYCA,ICAL,N,NA,NA,NA
SYCA,LEMI,N,NA,NA,NA
SYCA,LESE,N,NA,NA,NA
SYCA,MATE,N,NA,NA,NA
SYCA,MECA,N,NA,NA,NA
SYCA,MUMU,N,NA,NA,NA
SYCA,ORAF,N,NA,NA,NA
SYCA,OTCR,N,NA,NA,NA
SYCA,PALE,N,NA,NA,NA
SYCA,POLA,N,NA,NA,NA
SYGR,AEME,N,NA,NA,NA
SYGR,ALBU,N,NA,NA,NA
SYGR,COTA,N,NA,NA,NA
SYGR,HINI,N,NA,NA,NA
SYGR,KOEL,N,NA,NA,NA
SYGR,LOAF,N,NA,NA,NA
SYGR,OUOU,N,NA,NA,NA
SYGR,PACY,N,NA,NA,NA
SYGR,PHAF,N,NA,NA,NA
SYGR,RERE,N,NA,NA,NA
SYGR,SYCA,N,NA,NA,NA
SYGR,ATPA,N,NA,NA,NA
SYGR,BDCR,N,NA,NA,NA
SYGR,CEAL,N,NA,NA,NA
SYGR,CENA,N,NA,NA,NA
SYGR,CHPY,N,NA,NA,NA
SYGR,CICI,N,NA,NA,NA
SYGR,GASA,N,NA,NA,NA
SYGR,GEGE,N,NA,NA,NA
SYGR,HEIC,N,NA,NA,NA
SYGR,HEPA,N,NA,NA,NA
SYGR,HIAM,N,NA,NA,NA
SYGR,HYAF,N,NA,NA,NA
SYGR,ICAL,N,NA,NA,NA
SYGR,LEMI,N,NA,NA,NA
SYGR,LESE,N,NA,NA,NA
SYGR,MATE,N,NA,NA,NA
SYGR,MECA,N,NA,NA,NA
SYGR,MUMU,N,NA,NA,NA
SYGR,ORAF,N,NA,NA,NA
SYGR,OTCR,N,NA,NA,NA
SYGR,PALE,N,NA,NA,NA
SYGR,POLA,N,NA,NA,NA
TAOR,AEME,N,NA,NA,NA
TAOR,ALBU,N,NA,NA,NA
TAOR,COTA,N,NA,NA,NA
TAOR,HINI,N,NA,NA,NA
TAOR,KOEL,N,NA,NA,NA
TAOR,LOAF,N,NA,NA,NA
TAOR,OUOU,N,NA,NA,NA
TAOR,PACY,N,NA,NA,NA
TAOR,PHAF,N,NA,NA,NA
TAOR,RERE,N,NA,NA,NA
TAOR,SYCA,N,NA,NA,NA
TAOR,ATPA,N,NA,NA,NA
TAOR,BDCR,N,NA,NA,NA
TAOR,CEAL,N,NA,NA,NA
TAOR,CENA,N,NA,NA,NA
TAOR,CHPY,N,NA,NA,NA
TAOR,CICI,N,NA,NA,NA
TAOR,GASA,N,NA,NA,NA
TAOR,GEGE,N,NA,NA,NA
TAOR,HEIC,N,NA,NA,NA
TAOR,HEPA,N,NA,NA,NA
TAOR,HIAM,N,NA,NA,NA
TAOR,HYAF,N,NA,NA,NA
TAOR,ICAL,N,NA,NA,NA
TAOR,LEMI,N,NA,NA,NA
TAOR,LESE,N,NA,NA,NA
TAOR,MATE,N,NA,NA,NA
TAOR,MECA,N,NA,NA,NA
TAOR,MUMU,N,NA,NA,NA
TAOR,ORAF,N,NA,NA,NA
TAOR,OTCR,N,NA,NA,NA
TAOR,PALE,N,NA,NA,NA
TAOR,POLA,N,NA,NA,NA
TAOR,SYGR,N,NA,NA,NA
TRAN,ATPA,N,NA,NA,NA
TRAN,BDCR,N,NA,NA,NA
TRAN,CEAL,N,NA,NA,NA
TRAN,CENA,N,NA,NA,NA
TRAN,CHPY,N,NA,NA,NA
TRAN,CICI,N,NA,NA,NA
TRAN,GASA,N,NA,NA,NA
TRAN,GEGE,N,NA,NA,NA
TRAN,HEIC,N,NA,NA,NA
TRAN,HEPA,N,NA,NA,NA
TRAN,HIAM,N,NA,NA,NA
TRAN,HYAF,N,NA,NA,NA
TRAN,ICAL,N,NA,NA,NA
TRAN,LEMI,N,NA,NA,NA
TRAN,LESE,N,NA,NA,NA
TRAN,MATE,N,NA,NA,NA
TRAN,MECA,N,NA,NA,NA
TRAN,MUMU,N,NA,NA,NA
TRAN,ORAF,N,NA,NA,NA
TRAN,OTCR,N,NA,NA,NA
TRAN,PALE,N,NA,NA,NA
TRAN,POLA,N,NA,NA,NA
TRAN,SYGR,N,NA,NA,NA
TRAN,TAOR,N,NA,NA,NA
TRST,ATPA,N,NA,NA,NA
TRST,BDCR,N,NA,NA,NA
TRST,CEAL,N,NA,NA,NA
TRST,CENA,N,NA,NA,NA
TRST,CHPY,N,NA,NA,NA
TRST,CICI,N,NA,NA,NA
TRST,GASA,N,NA,NA,NA
TRST,GEGE,N,NA,NA,NA
TRST,HEIC,N,NA,NA,NA
TRST,HEPA,N,NA,NA,NA
TRST,HIAM,N,NA,NA,NA
TRST,HYAF,N,NA,NA,NA
TRST,ICAL,N,NA,NA,NA
TRST,LEMI,N,NA,NA,NA
TRST,LESE,N,NA,NA,NA
TRST,MATE,N,NA,NA,NA
TRST,MECA,N,NA,NA,NA
TRST,MUMU,N,NA,NA,NA
TRST,ORAF,N,NA,NA,NA
TRST,OTCR,N,NA,NA,NA
TRST,PALE,N,NA,NA,NA
TRST,POLA,N,NA,NA,NA
TRST,SYGR,N,NA,NA,NA
TRST,TAOR,N,NA,NA,NA
TRSY,ATPA,N,NA,NA,NA
TRSY,BDCR,N,NA,NA,NA
TRSY,CEAL,N,NA,NA,NA
TRSY,CENA,N,NA,NA,NA
TRSY,CHPY,N,NA,NA,NA
TRSY,CICI,N,NA,NA,NA
TRSY,GASA,N,NA,NA,NA
TRSY,GEGE,N,NA,NA,NA
TRSY,HEIC,N,NA,NA,NA
TRSY,HEPA,N,NA,NA,NA
TRSY,HIAM,N,NA,NA,NA
TRSY,HYAF,N,NA,NA,NA
TRSY,ICAL,N,NA,NA,NA
TRSY,LEMI,N,NA,NA,NA
TRSY,LESE,N,NA,NA,NA
TRSY,MATE,N,NA,NA,NA
TRSY,MECA,N,NA,NA,NA
TRSY,MUMU,N,NA,NA,NA
TRSY,ORAF,N,NA,NA,NA
TRSY,OTCR,N,NA,NA,NA
TRSY,PALE,N,NA,NA,NA
TRSY,POLA,N,NA,NA,NA
TRSY,SYGR,N,NA,NA,NA
TRSY,TAOR,N,NA,NA,NA