Folder,Time_difference,sign
Wrong1,1:0:340 8:25:0,+
Wrong2,2:0:7 0:4:0,+
Wrong3,2:0:8 13:25:0,+
Wrong4,2:0:9 13:27:0,+
Wrong5,2:0:10 14:10:0,+
Wrong6,2:0:13 0:0:0,+
Wrong8,2:0:13 12:9:0,+
Wrong9,2:0:14 10:28:0,+
Wrong10,2:0:14 14:45:0,+
Wrong14,2:0:15 12:0:0,+
Wrong16,2:0:15 14:38:0,+
Wrong18,2:0:17 14:38:0,+
Wrong21,2:0:18 13:30:0,+
Wrong22,2:0:23 9:21:0,+
Wrong23,2:0:23 13:0:0,+
Wrong24,2:0:23 11:15:0,+
Wrong25,2:0:24 11:47:0,+
Wrong26,2:0:29 12:17:0,+
Wrong27,2:0:32 15:9:0,+
Wrong28,2:0:34 10:40:0,+
Wrong29,2:0:37 12:28:0,+
Wrong30,2:0:39 15:41:0,+
Wrong32,2:0:42 10:34:0,+
Wrong36,2:0:42 13:35:0,+
Wrong38,2:0:43 12:50:0,+
Wrong40,2:0:48 14:30:0,+